Extracting commit stats ...
  progress: 29001/34748 commits walked (83.5%)
  progress: 29201/34748 commits walked (84.0%)
  progress: 29401/34748 commits walked (84.6%)
  progress: 29601/34748 commits walked (85.2%)
  progress: 29801/34748 commits walked (85.8%)
  progress: 30001/34748 commits walked (86.3%)
  progress: 30201/34748 commits walked (86.9%)
  progress: 30401/34748 commits walked (87.5%)
  progress: 30601/34748 commits walked (88.1%)
  progress: 30801/34748 commits walked (88.6%)
  progress: 31001/34748 commits walked (89.2%)
  progress: 31201/34748 commits walked (89.8%)
  progress: 31401/34748 commits walked (90.4%)
  progress: 31601/34748 commits walked (90.9%)
  progress: 31801/34748 commits walked (91.5%)
  progress: 32001/34748 commits walked (92.1%)
  progress: 32201/34748 commits walked (92.7%)
  progress: 32401/34748 commits walked (93.2%)
  progress: 32601/34748 commits walked (93.8%)
  progress: 32801/34748 commits walked (94.4%)
  progress: 33001/34748 commits walked (95.0%)
  progress: 33201/34748 commits walked (95.5%)
  progress: 33401/34748 commits walked (96.1%)
  progress: 33601/34748 commits walked (96.7%)
  progress: 33801/34748 commits walked (97.3%)
  progress: 34001/34748 commits walked (97.9%)
  progress: 34201/34748 commits walked (98.4%)
  progress: 34401/34748 commits walked (99.0%)
  progress: 34601/34748 commits walked (99.6%)
  progress: 34748/34748 commits walked (100.0%)
34156 non-merge commits found; scoring last 500 ...

/tmp/ugc_new_django: 500 commits scored, 0 flagged Unusual (score >= 0.97)


Wrote /tmp/fpr_scan/django.tsv
